CustomerID,ProductID,Category,PurchaseCount,ProductName
00849945-446c-4f65-948a-01bf6cf12639,1aaf6315-f4b9-4fb4-902a-1b20b88da46b,Electronics,1,Or Item
0087ede1-d0f5-4cb7-ba21-ad2efdf2cacd,a2b49fee-31b8-4ee8-bdec-88e654256551,Clothing,1,So Gadget
00c5e657-0b6b-4a0b-8232-44880da51783,03c733f1-6411-436d-84f6-f81c55b1fe85,Home & Kitchen,1,Store Accessory
00cba302-ca47-44fd-b790-9508e78aedab,16d10d1d-9aba-4002-b3ed-535c3f865f9b,Home & Kitchen,1,Admit Item
00ccd7fa-f5f3-44c9-92ff-606422733cec,3c5d75f0-0b0c-440d-b17e-4f2ddaf4734d,Clothing,1,Believe Item
0127b98d-d15b-4ac9-8572-4b1cfddb731e,1391b5ab-04f3-480c-9e40-9a0d05449ac8,Home & Kitchen,1,Group Device
01291205-14bb-42f7-91d7-7ada23d0f035,08535f38-cb03-4264-91a8-7238a65c26ce,Books,1,Perform Tool
01f9d74f-9289-4d3c-b3df-04bdd4f9abda,52eca69d-ab8f-460d-849a-34196a01fcf5,Clothing,1,Interview Item
027212f1-388a-40c7-983a-e75ff5c8c97b,5c253904-c0f3-4cf9-a6cb-942ed6f1bbd4,Clothing,1,Watch Item
027aa221-5c36-442e-ae72-763febbf4ca5,1834487c-8972-494e-aada-1c0c4406ce18,Home & Kitchen,1,Blood Device
02c05b25-f699-475d-83d6-ab3b851bba5d,33e68e81-78cf-4802-bae2-6264c26c5955,Electronics,2,Class Tool
0352e950-d011-493b-8c8c-76718ac62829,11182f56-ff77-46e0-9bd2-ab3fb6c353ee,Clothing,1,Or Accessory
038c59de-4eb2-4fbe-a8fe-66162261fc30,0e44853f-7a45-400b-ad30-8d017061acb8,Toys & Games,1,Common Gadget
0392d36f-47e8-4354-b752-b83462a97b77,2a71b6af-8e79-4743-a320-24de972782fc,Grooming,1,Including Tool
0479387c-431c-4b7d-ac55-daa1cc18cedd,273acc70-97dd-40eb-9cb1-89b5884e5488,Books,1,Able Item
04882464-721e-4882-add5-60b6500b5c15,717cb81f-9a7b-4df3-a931-27b933957297,Electronics,1,Seven Item
04d2d8c2-2465-4033-912d-2a897b72dbd4,1da4805d-fa32-4668-a651-9c73346238fa,Electronics,1,Full Accessory
053a9d0d-9cf0-43bf-82a4-fb8567a8d1d8,78c03f6f-6572-4530-84b9-90a65dfd7b5b,Home & Kitchen,1,Standard Device
05688e9e-7c9d-41c3-b33a-0764eddde18e,24ec6b91-cfbe-4857-afa1-4863fd88e626,Books,1,Ago Accessory
056efa21-b63e-450b-855f-602738883666,3ec3a4ec-9311-47ed-a1af-218671f896b6,Grooming,1,Free Item
05d7b3e3-2139-4d3e-af51-c955db2066f3,08123435-71ce-4b16-aab6-57996a1d0aae,Electronics,1,Level Tool
05f34d24-dd71-4483-bfe3-1b02baaf4eab,98118517-b88c-43cf-bb0b-833250d175c6,Home & Kitchen,1,Into Item
06720638-6f48-4e76-96f7-3617c930ea81,e6663d2b-388c-44ba-9498-1ac89828ffe4,Home & Kitchen,1,Film Tool
06dae348-48ea-4407-9f19-b50e56994a92,831b9dfa-feff-4e0c-a2c1-c3a39060b25b,Electronics,1,Impact Accessory
06ffe81d-d038-4555-aaca-46c7eba582da,ae84da21-1c2e-4ede-a854-fd6f3970712f,Grooming,1,Worry Gadget
07eb0867-307c-4da7-9b24-a350641b3649,47383451-bf35-435b-9fe7-0a4e646a40d2,Home & Kitchen,1,Attack Device
08525068-0a48-4b3d-8c0c-aaeab00a39f6,0fc2d2c2-4810-44d5-89c0-42b084ef2eb7,Clothing,1,Director Accessory
085b1124-69fa-4033-9022-b4780c93cdbd,00bc0a78-2f79-4801-9e94-b99285be5962,Grooming,1,Region Accessory
0870636e-3c4a-49ae-b04e-040589002e8f,33e68e81-78cf-4802-bae2-6264c26c5955,Electronics,1,Class Tool
0886e106-474d-451d-9fd4-c4fe823dff46,6ad2c871-b97e-482e-879f-1f1e8adde1a7,Books,1,Thought Gadget
08c4007b-820e-4d87-8c46-8db528e2e856,2a9bbac2-ad67-4f99-9ec7-a12637d42ef6,Toys & Games,1,Yourself Item
08d854b7-b774-4a89-806e-0288682b0ba9,0394668b-8087-428c-bf2f-1b7c967ec967,Books,1,Usually Tool
08ee7f00-6b40-4300-b559-b2229586b52e,086594a2-a208-456b-9061-59a6fcb0de93,Grooming,1,Old Device
0a1a7825-ee00-437a-9045-b332a70a9ab7,1834487c-8972-494e-aada-1c0c4406ce18,Home & Kitchen,1,Blood Device
0a22f791-045e-42cd-9135-0135cd5b91ee,60e3ed95-1400-4425-9087-319ab6a9074d,Clothing,1,Avoid Device
0a569e84-96c0-461c-9c74-7738410fda5e,21c6e5e0-c7fb-401e-a2f9-e2e50120ce8f,Clothing,1,Including Tool
0b1a9d83-1842-43eb-a0a9-4b39ae7ce0a4,286a6370-9942-4fb6-82ed-826c5c00b901,Home & Kitchen,1,Buy Device
0b317811-b800-41c4-9e31-bfd0522263e7,14568827-ba50-4978-bb08-457107d6b316,Electronics,1,None Item
0bc1cf1a-f76d-467e-b346-319335f5a8f1,583e887f-7c87-4dd6-8fda-1087d0197589,Books,1,Ok Gadget
0c0a8f9c-6abe-4805-9341-daac77236245,0edb4e1b-4fc7-4e88-8b78-2d23dbe56326,Clothing,1,Game Gadget
0c6470a1-6653-4671-a843-be2733c8f11a,405254a5-0815-438a-9e63-0f6675dac6d2,Grooming,1,Model Tool
0c7048b1-6b92-4cfd-b70b-11227d05ba72,39013af6-089a-46f4-9f1a-850b0903c3b3,Electronics,1,Without Accessory
0cad01ef-4388-4184-b923-cefd32e86405,09ef1c6d-86dd-4755-8a51-56632014418a,Grooming,1,Kind Gadget
0d54459a-5f10-45ee-ac7b-a2e728d9f65b,15268fb1-5d08-459c-92bd-fe1d1574c554,Home & Kitchen,1,Report Device
0dbabf2b-4934-45c7-8138-ed23680c2e22,1391b5ab-04f3-480c-9e40-9a0d05449ac8,Home & Kitchen,1,Group Device
0dde95ae-4628-4dff-8b73-f18aa9ea552c,17e9e463-fa72-4647-8a38-4f680330eae6,Electronics,1,Break Accessory
0f2da294-628a-4cee-8687-d75d72c4a580,099415a1-36ce-451c-83a2-810608eac402,Electronics,1,End Device
0f5a1abc-69a6-4411-8878-d24e4e42e741,7773f7a5-4f10-489e-a561-1f332342556d,Grooming,1,Fall Gadget
0f966322-5813-43df-8131-b12ffc46907c,04697b66-383a-4d0f-98ad-b4cf7f1cb8fa,Electronics,1,Pretty Gadget
0febe9e1-7698-4788-af01-5316c29249fb,3edba62d-62db-4a7e-8a90-a7fe948159c4,Clothing,1,Worker Item
108995b1-dd7e-48c1-9d45-b71b4717942d,2d260f81-f6a0-4eeb-80e3-4623fcab6e2d,Books,1,Read Item
10dd74af-1610-46df-ab20-e6cbd3ff8446,172dd57b-9c62-4b7d-893b-500ed52fdb3f,Home & Kitchen,1,Least Tool
11558fa4-1357-48c1-a687-30756ab033a4,2b7c4285-245b-4eb4-b0df-f5526e8b0cb6,Books,1,Ball Gadget
11a18a72-ae14-4831-85a6-dc7f1639a94e,12cf8e59-3e62-42ce-83e0-c88e4c7e32c4,Home & Kitchen,1,Knowledge Tool
12343e70-cb71-4635-a5ac-7da602ea4f2b,7aea05a4-6359-45d1-9105-d84cc3263642,Clothing,1,Smile Device
12a61697-2d52-4598-a1cf-ffb37372f0c3,94ca8843-592f-4c99-98c0-d3e96660f434,Electronics,1,Require Item
12b56ed5-ab3d-41c9-b5a9-69e91932dd47,361e318f-50b8-4d31-8c7c-f51ef6336fc0,Home & Kitchen,1,Require Tool
12d80553-b5f9-4460-82e8-071b4540c895,335a2e5e-2891-4182-9520-ee06aa95f5a2,Home & Kitchen,1,Full Tool
131cb845-1236-4d42-8143-4b1194af2553,08535f38-cb03-4264-91a8-7238a65c26ce,Books,1,Perform Tool
139a0519-2d2e-4591-802a-81473e5cb976,9169bd11-71e9-483c-924a-bf3d80b4b198,Books,1,Rise Item
13a769ff-e8e0-4e7f-bb03-4010985fa843,0103a560-2deb-4db9-84fb-d88394bea575,Toys & Games,1,Nice Tool
13d3bb67-d39a-4cd9-ab6e-eae3d875cb94,1c5b5474-7394-4fa0-b49c-ddc935070585,Grooming,1,Response Item
140edf79-fb7c-41b4-9bc3-b14ea1603ba9,086594a2-a208-456b-9061-59a6fcb0de93,Grooming,1,Old Device
