SubscriptionID,CustomerID,ProductID,StartDate,EndDate,Status,RenewalCount
e889d9a4-e742-4847-b4e9-d53c3d270590,fb6e0b60-8331-4e4a-beeb-b467eb00c604,075c52c3-189f-416c-96a4-c73fb723e5a8,2025-02-04,2026-01-30,Active,3
84a49595-c090-4cc5-8ff1-1da885ff68f8,ada14ff6-ddea-4d5e-81a3-60ee4491b792,1da4805d-fa32-4668-a651-9c73346238fa,2024-11-15,2025-05-14,Active,4
4fd945eb-823e-459d-94ab-173a8b5d450a,f5e98406-c449-458a-9b38-46ae4fdc70c4,c6f04816-d27b-495d-a6fe-dbc3a65c2c88,2024-07-13,2024-08-12,Expired,0
7a67c9a5-3023-4a45-9725-8c68b7c854ce,47153500-1fc9-45af-9703-9b5a8d5eebd7,235de690-3455-4426-9fad-f441c6e71ddf,2024-01-25,2024-04-24,Expired,0
e724036b-f305-4602-aa03-f3faf5cc1337,fd3f8f4f-5f30-4549-9377-e188d296b7c6,0ba6b90d-e5dd-44cc-923d-9ac4132b591f,2024-01-02,2024-12-27,Expired,0
ff424a8f-83b3-4e37-9077-64a818c5ab88,5791555f-0704-4633-99c1-81a53fa7f9fa,88888418-571f-4a27-a37c-f6b2d58a7b5b,2024-03-26,2024-06-24,Expired,0
1e970b11-f35e-4790-b122-3147dc0a6a82,2ad138dc-8ac6-4733-b997-fbfc6cc3a25e,30d1e641-77a0-4ad2-aa11-e042e3069b06,2024-07-27,2024-08-26,Expired,0
60e74b87-753d-433a-8a96-a9bf26cdaa51,6252713a-4872-4c88-b72d-c642417dc4e0,1efc5749-cc75-4771-ba49-4684ac38b6c9,2024-11-27,2025-11-22,Active,0
36680a71-5616-499b-8ac1-59102f8076c6,d80cf8cb-f8f6-4d03-aeb5-ef27fb63a7c2,a05dbc82-0cfc-492d-b423-870c4b882173,2024-06-23,2024-09-21,Expired,0
19de9c41-281f-4fd7-ad0a-0f9816573cb6,ea15492e-0dcc-4c1b-8817-d8263ff50c5c,84e6517a-4b5c-4b00-8154-fc375005875e,2024-06-27,2024-07-27,Expired,0
12c590b1-f369-42e7-9af8-9175029243cf,2c1881cb-32dd-47f6-a683-4057f3f03ba8,9bff3df8-d28d-4937-827d-995653b4482b,2024-05-14,2024-08-12,Expired,0
176bcee1-034b-4f94-b19c-db3cc5ec18da,c66c2022-205e-4e24-84de-0f5bd48f19c7,657202bc-6a90-49af-804d-ac7979dcfc6d,2025-01-29,2025-04-29,Active,5
f079b50c-7320-4f65-9589-933344955ee7,b53a9d9a-e693-4c4b-b620-c4dd0651ecd4,e449ad32-fc35-4129-a0b4-e2ecb76e3d3d,2024-02-16,2024-08-14,Expired,0
